nombre,posicion,equipo,ecr,sd,mejor,peor,fecha
Ryan Flournoy,WR,DAL,184.8,30.4,136.0,328.0,2026-08-28
Brandon Aubrey,K,DAL,185.3,8.3,129.0,193.0,2026-08-28
Minnesota Vikings,DST,MIN,185.9,12.1,164.0,252.0,2026-08-28
Pittsburgh Steelers,DST,PIT,186.3,8.8,161.0,239.0,2026-08-28
Dontayvion Wicks,WR,PHI,186.7,34.6,107.0,289.0,2026-08-28
New England Patriots,DST,NE,186.7,19.0,160.0,356.0,2026-08-28
Jacksonville Jaguars,DST,JAC,189.4,17.5,151.0,280.0,2026-08-28
Emmett Johnson,RB,KC,189.7,35.2,143.0,283.0,2026-08-28
Travis Hunter,WR,JAC,189.8,40.5,96.0,305.0,2026-08-28
Jalen Nailor,WR,LV,190.3,33.1,116.0,302.0,2026-08-28
T.J. Hockenson,TE,MIN,190.3,27.4,112.0,298.0,2026-08-28
Malik Washington,WR,MIA,190.6,32.9,128.0,289.0,2026-08-28
Pat Bryant,WR,DEN,190.7,31.3,116.0,293.0,2026-08-28
Ka'imi Fairbairn,K,HOU,191.8,7.6,134.0,212.0,2026-08-28
Los Angeles Chargers,DST,LAC,193.5,22.4,162.0,356.0,2026-08-28
Keenan Allen,WR,IND,193.7,59.8,100.0,303.0,2026-08-28
Jacoby Brissett,QB,ARI,194.4,40.9,129.0,338.0,2026-08-28
Ray Davis,RB,BUF,194.4,33.9,145.0,271.0,2026-08-28
Cameron Dicker,K,LAC,194.6,15.8,150.0,333.0,2026-08-28
Baltimore Ravens,DST,BAL,198.2,23.3,161.0,356.0,2026-08-28
Cam Little,K,JAC,198.9,8.6,168.0,253.0,2026-08-28
Jason Myers,K,SEA,200.1,9.0,171.0,253.0,2026-08-28
Jaylin Noel,WR,HOU,200.4,30.3,140.0,319.0,2026-08-28
Kimani Vidal,RB,LAC,201.2,35.8,157.0,317.0,2026-08-28
Calvin Ridley,WR,TEN,202.3,34.0,133.0,312.0,2026-08-28
Green Bay Packers,DST,GB,204.2,21.0,183.0,280.0,2026-08-28
Sean Tucker,RB,TB,204.7,37.1,148.0,337.0,2026-08-28
Eddy Pineiro,K,SF,207.9,10.5,175.0,250.0,2026-08-28
AJ Barner,TE,SEA,208.2,25.7,124.0,268.0,2026-08-28
Greg Dulcich,TE,MIA,208.5,38.5,131.0,306.0,2026-08-28
Tyler Loop,K,BAL,208.7,11.9,181.0,257.0,2026-08-28
Kansas City Chiefs,DST,KC,209.5,18.5,178.0,280.0,2026-08-28
Caleb Douglas,WR,MIA,211.1,56.5,115.0,341.0,2026-08-28
James Conner,RB,ARI,211.4,43.6,130.0,332.0,2026-08-28
Tank Dell,WR,HOU,211.4,33.2,136.0,350.0,2026-08-28
Oronde Gadsden II,TE,LAC,211.7,42.6,97.0,295.0,2026-08-28
Terrance Ferguson,TE,LAR,212.7,42.9,112.0,281.0,2026-08-28
Evan McPherson,K,CIN,215.9,16.2,173.0,282.0,2026-08-28
Troy Franklin,WR,DEN,216.2,40.0,142.0,341.0,2026-08-28
Cairo Santos,K,CHI,216.3,12.8,179.0,282.0,2026-08-28
Aaron Rodgers,QB,PIT,216.7,37.9,153.0,341.0,2026-08-28
Isaac TeSlaa,WR,DET,217.8,25.8,165.0,302.0,2026-08-28
Nicholas Singleton,RB,TEN,218.9,38.1,148.0,323.0,2026-08-28
Darnell Mooney,WR,NYG,219.0,27.3,163.0,362.0,2026-08-28
Cleveland Browns,DST,CLE,219.3,31.5,183.0,318.0,2026-08-28
Detroit Lions,DST,DET,220.3,26.3,174.0,330.0,2026-08-28
Gunnar Helm,TE,TEN,220.4,31.2,143.0,316.0,2026-08-28
Washington Commanders,DST,WAS,220.8,61.5,190.0,358.0,2026-08-28
Jake Bates,K,DET,221.1,16.1,185.0,282.0,2026-08-28
Geno Smith,QB,NYJ,222.4,35.3,147.0,342.0,2026-08-28
Cyrus Allen,WR,KC,222.4,58.2,123.0,376.0,2026-08-28
Ja'Kobi Lane,WR,BAL,222.6,48.3,140.0,326.0,2026-08-28
Kenyon Sadiq,TE,NYJ,222.6,34.8,138.0,375.0,2026-08-28
Cooper Kupp,WR,SEA,223.0,27.7,142.0,289.0,2026-08-28
Andy Borregales,K,NE,223.4,18.7,188.0,286.0,2026-08-28
Rashod Bateman,WR,BAL,226.1,29.8,150.0,327.0,2026-08-28
Jaydon Blue,RB,DAL,226.5,42.7,145.0,321.0,2026-08-28
Chase McLaughlin,K,TB,227.1,19.5,180.0,286.0,2026-08-28
Harrison Mevis,K,LAR,227.3,23.1,193.0,333.0,2026-08-28
Buffalo Bills,DST,BUF,227.4,26.6,189.0,349.0,2026-08-28
Emanuel Wilson,RB,SEA,228.9,40.5,132.0,393.0,2026-08-28
Brandon McManus,K,FA,229.8,42.5,198.0,314.0,2026-08-28
Kaytron Allen,RB,WAS,232.2,38.4,156.0,343.0,2026-08-28
Germie Bernard,WR,PIT,233.4,30.7,166.0,328.0,2026-08-28
Antonio Williams,WR,WAS,233.9,40.4,136.0,362.0,2026-08-28
Tennessee Titans,DST,TEN,234.8,59.0,161.0,355.0,2026-08-28
Zachariah Branch,WR,ATL,235.1,34.3,160.0,316.0,2026-08-28
Malachi Fields,WR,NYG,236.1,35.1,137.0,328.0,2026-08-28
Justice Hill,RB,BAL,236.5,40.5,141.0,327.0,2026-08-28
Jaylen Wright,RB,MIA,236.6,28.2,162.0,308.0,2026-08-28
Daniel Carlson,K,NO,236.8,26.1,209.0,282.0,2026-08-28
Kaelon Black,RB,SF,237.8,51.0,128.0,327.0,2026-08-28
Pat Freiermuth,TE,PIT,238.5,27.3,155.0,333.0,2026-08-28
Jack Bech,WR,LV,239.0,33.1,140.0,391.0,2026-08-28
Cade Otton,TE,TB,239.9,24.9,178.0,320.0,2026-08-28
Spencer Shrader,K,IND,241.7,21.9,211.0,261.0,2026-08-28
Chris Boswell,K,PIT,242.0,18.8,195.0,282.0,2026-08-28
Harrison Butker,K,KC,242.7,25.0,192.0,333.0,2026-08-28
Ted Hurst III,WR,TB,243.0,39.9,154.0,391.0,2026-08-28
Ben Sauls,K,NYG,243.4,34.7,192.0,282.0,2026-08-28
Joey Slye,K,TEN,243.5,59.7,199.0,370.0,2026-08-28
George Holani,RB,SEA,243.5,41.6,154.0,332.0,2026-08-28
Chris Bell,WR,MIA,244.0,35.0,154.0,310.0,2026-08-28
Chimere Dike,WR,TEN,244.4,37.2,165.0,344.0,2026-08-28
Keon Coleman,WR,BUF,246.9,32.1,154.0,331.0,2026-08-28
Ryan Fitzgerald,K,CAR,247.5,57.9,203.0,368.0,2026-08-28
Devaughn Vele,WR,NO,248.6,36.9,154.0,302.0,2026-08-28
Ollie Gordon II,RB,MIA,248.7,30.6,162.0,332.0,2026-08-28
Jake Moody,K,FA,249.0,33.0,216.0,282.0,2026-08-28
Dallas Cowboys,DST,DAL,249.3,51.8,183.0,356.0,2026-08-28
Najee Harris,RB,NYG,249.4,50.9,160.0,360.0,2026-08-28
David Njoku,TE,LAC,250.3,30.0,144.0,355.0,2026-08-28
Elic Ayomanor,WR,TEN,251.8,33.5,180.0,350.0,2026-08-28
Demond Claiborne,RB,MIN,252.0,35.1,160.0,354.0,2026-08-28
New York Giants,DST,NYG,253.0,52.7,172.0,357.0,2026-08-28
Blake Grupe,K,IND,253.4,59.0,205.0,364.0,2026-08-28
Will Reichard,K,MIN,253.6,29.4,183.0,332.0,2026-08-28
Nick Folk,K,ATL,253.6,58.0,187.0,366.0,2026-08-28
Isaiah Davis,RB,NYJ,254.0,27.6,162.0,326.0,2026-08-28
Evan Engram,TE,DEN,254.0,25.2,195.0,306.0,2026-08-28
Las Vegas Raiders,DST,LV,255.6,69.3,170.0,360.0,2026-08-28
San Francisco 49ers,DST,SF,257.6,30.2,165.0,356.0,2026-08-28
Trey Smack,K,GB,258.2,48.2,205.0,353.0,2026-08-28
New York Jets,DST,NYJ,258.2,68.3,191.0,361.0,2026-08-28
Ty Johnson,RB,BUF,259.3,30.4,162.0,332.0,2026-08-28
Fernando Mendoza,QB,LV,259.5,37.9,159.0,368.0,2026-08-28
New Orleans Saints,DST,NO,260.5,37.8,172.0,337.0,2026-08-28
Elijah Sarratt,WR,BAL,261.6,24.3,204.0,323.0,2026-08-28
Tory Horton,WR,SEA,261.7,27.1,208.0,369.0,2026-08-28
LeQuint Allen Jr.,RB,JAC,262.4,30.2,160.0,343.0,2026-08-28
Samaje Perine,RB,CIN,262.4,39.6,152.0,331.0,2026-08-28
Chicago Bears,DST,CHI,263.0,51.1,167.0,355.0,2026-08-28
Christian Kirk,WR,SF,264.6,33.0,176.0,374.0,2026-08-28
Xavier Legette,WR,CAR,264.7,30.0,195.0,332.0,2026-08-28
Darius Slayton,WR,NYG,264.8,26.1,184.0,334.0,2026-08-28
Tyquan Thornton,WR,KC,264.9,31.6,166.0,373.0,2026-08-28
Jordan James,RB,SF,264.9,35.8,164.0,343.0,2026-08-28
Wil Lutz,K,DEN,265.0,28.7,182.0,333.0,2026-08-28
Cincinnati Bengals,DST,CIN,265.4,63.3,185.0,356.0,2026-08-28
Colby Parkinson,TE,LAR,265.9,20.3,215.0,345.0,2026-08-28
Darren Waller,TE,CAR,267.9,35.8,209.0,357.0,2026-08-28
Marvin Mims Jr.,WR,DEN,268.0,26.5,208.0,369.0,2026-08-28
Atlanta Falcons,DST,ATL,268.0,41.2,167.0,356.0,2026-08-28
Alec Ingold,RB,LAC,270.5,7.5,263.0,278.0,2026-08-28
Tampa Bay Buccaneers,DST,TB,271.1,59.7,187.0,356.0,2026-08-28
Chris Brooks,RB,GB,271.1,29.5,175.0,358.0,2026-08-28
Devin Neal,RB,NO,271.6,33.2,201.0,364.0,2026-08-28
Tua Tagovailoa,QB,ATL,272.0,34.7,139.0,348.0,2026-08-28
DJ Giddens,RB,IND,272.3,23.5,222.0,327.0,2026-08-28
Mike Gesicki,TE,CIN,273.1,23.7,226.0,352.0,2026-08-28
Brandon Aiyuk,WR,SF,273.2,48.5,163.0,381.0,2026-08-28
Malik Davis,RB,DAL,273.9,30.0,177.0,358.0,2026-08-28
Chad Ryland,K,ARI,274.1,66.7,197.0,369.0,2026-08-28
Mason Taylor,TE,NYJ,274.3,27.6,200.0,336.0,2026-08-28
Seth McGowan,RB,IND,274.4,40.1,175.0,343.0,2026-08-28
Kyle Williams,WR,NE,275.0,33.2,202.0,369.0,2026-08-28
Indianapolis Colts,DST,IND,275.1,36.6,171.0,356.0,2026-08-28
Trey Benson,RB,ARI,276.2,36.7,160.0,349.0,2026-08-28
Jahan Dotson,WR,ATL,276.8,48.8,154.0,374.0,2026-08-28
Andrei Iosivas,WR,CIN,276.9,34.0,195.0,359.0,2026-08-28
Josh Williams,RB,TB,278.0,35.0,243.0,313.0,2026-08-28
Carolina Panthers,DST,CAR,278.3,55.0,185.0,356.0,2026-08-28
Tyler Bass,K,BUF,278.6,45.5,193.0,359.0,2026-08-28
DeMario Douglas,WR,NE,278.9,58.7,168.0,385.0,2026-08-28
Miami Dolphins,DST,MIA,280.3,77.0,185.0,359.0,2026-08-28
Zane Gonzalez,K,FA,280.5,53.2,203.0,339.0,2026-08-28
Charlie Smyth,K,NO,280.7,41.7,187.0,333.0,2026-08-28
Theo Johnson,TE,NYG,280.8,28.1,203.0,349.0,2026-08-28
Mack Hollins,WR,NE,282.1,34.6,199.0,387.0,2026-08-28
Tyreek Hill,WR,FA,282.6,41.5,192.0,385.0,2026-08-28
Kendre Miller,RB,NO,282.9,33.9,162.0,365.0,2026-08-28
Brashard Smith,RB,KC,283.1,26.0,222.0,366.0,2026-08-28
Charlie Kolar,TE,LAC,284.1,40.2,196.0,382.0,2026-08-28
Eli Stowers,TE,PHI,286.0,37.8,203.0,377.0,2026-08-28
Michael Penix Jr.,QB,ATL,286.5,27.6,199.0,346.0,2026-08-28
Arizona Cardinals,DST,ARI,287.0,75.0,212.0,362.0,2026-08-28
Adam Randall,RB,BAL,287.1,30.2,201.0,337.0,2026-08-28
Xavier Hutchinson,WR,HOU,287.4,58.1,176.0,384.0,2026-08-28
Kirk Cousins,QB,LV,288.5,32.6,179.0,347.0,2026-08-28
Hollywood Brown,WR,PHI,288.8,23.1,239.0,382.0,2026-08-28
Jake Elliott,K,PHI,289.1,41.9,197.0,365.0,2026-08-28
Emari Demercado,RB,KC,289.6,35.6,162.0,380.0,2026-08-28
Jalen Tolbert,WR,MIA,289.6,46.5,194.0,378.0,2026-08-28
Bryce Lance,WR,NO,289.7,41.5,180.0,351.0,2026-08-28
Deshaun Watson,QB,CLE,289.7,26.1,221.0,346.0,2026-08-28
Drew Stevens,K,WAS,290.3,51.5,250.0,363.0,2026-08-28
Isaiah Bond,WR,CLE,290.5,27.4,224.0,380.0,2026-08-28
Jake Tonges,TE,SF,290.8,33.7,158.0,358.0,2026-08-28
Bam Knight,RB,ARI,292.0,27.4,233.0,337.0,2026-08-28
Kendrick Bourne,WR,ARI,292.6,46.2,224.0,365.0,2026-08-28
Kaleb Johnson,RB,PIT,292.8,32.8,214.0,381.0,2026-08-28
Skyler Bell,WR,BUF,292.8,32.0,222.0,386.0,2026-08-28
Darnell Washington,TE,PIT,293.7,31.0,229.0,356.0,2026-08-28
Tommy Myers,TE,FA,293.8,48.6,254.0,373.0,2026-08-28
Jaleel McLaughlin,RB,DEN,294.5,24.0,233.0,358.0,2026-08-28
Roman Hemby,RB,LV,295.5,22.5,273.0,318.0,2026-08-28
Tyler Badie,RB,DEN,296.0,62.0,234.0,358.0,2026-08-28
Devin Singletary,RB,NYG,297.2,22.5,234.0,366.0,2026-08-28
Isaiah Williams,WR,FA,297.5,76.5,221.0,374.0,2026-08-28
Shedeur Sanders,QB,CLE,297.9,27.2,204.0,348.0,2026-08-28
Kyle Juszczyk,RB,SF,298.6,50.4,201.0,359.0,2026-08-28
Roman Wilson,WR,PIT,298.9,46.7,219.0,382.0,2026-08-28
Michael Mayer,TE,LV,299.3,30.1,241.0,361.0,2026-08-28
Chris Brazzell II,WR,CAR,299.5,36.7,237.0,376.0,2026-08-28
